мшыбзиа, ҳаҭыр зқәу ахәаԥшцәа!	добрый день, уважаемые зрители!
иахьа ҳара ҳаигәырӷьоит	сегодня мы рады приветствовать
астудиа « аԥсны хабар » аҿы ҳахьиԥыло еицырдыруа ашәҟәыҩҩы анатоли ким.	в студии « апсны хабар » известного писателя анатолия кима.
сгәы иаанагоит, анатоли ким аиҳабыратә биԥарахь иаҵанакуа рыбжьара дызусҭоу аҳара аҭахым.	думаю, старшему поколению анатолия кима не нужно представлять.
ари еицырдыруа аурыс шәҟәыҩҩуп, иуҳәар ҟалоит, асовет шәҟәыҩҩуп,	это известный русский, можно сказать, советский писатель,
аха аҿар уи иӡбахә раҳәара аҭахуп,	но молодому поколению необходимо его представить,
избанзар анатоли ким ирҿиара аҿар имаҷны ирдыруеит.	потому что о творчестве анатолия кима мало кто знает из молодых.
сгәы иаанагоит, ҳаицәажәара ашьҭахь аӡәырҩы ирҿиара ашҟа аинтерес рызцәырҵуеит,	думаю, после нашего разговора многие заинтересуются его творчеством,
анатоли ким иҩымҭақәа ԥшааны, аԥхьара иалагоит.	найдут произведения анатолия кима и будут читать.
сара анатоли ким шәҟәыҩҩык иаҳасабала дыздыруеижьҭеи кырҵуеит,	я открыл для себя анатолия кима очень давно,
уи аԥсныҟа дшааз ансаҳа,	и когда я услышал о его приезде в абхазию,
иҿцәажәаразы агәазыҳәара соуит.	мне стало интересно с ним побеседовать.
ҳаицәажәара аинтерес аҵан.	наш разговор был содержательным и интересным.
уи иахьа ари астудиаҿы иацаҳҵап ҳәа сыҟоуп. .	думаю, мы его продолжим здесь, в студии.
сара ароман- лакә « белка » сеиҭаԥхьеит.	я перечитал роман- сказку « белка ».
уи ҿыц аартра сара сзы аинтерес аҵан.	мне было интересно заново открыть его для себя.
арҿиамҭа « белка » аҟны акырӡа интересу ахаҿсахьақәа маҷымкәа иагәылоуп.	в произведении « белка » много интересных образов.
ароман аҟны иҟоуп аԥсуа мотивқәагьы.	в романе есть и мотивы наши абхазские.
ҭыԥқәак рҿы шәара пицунда шәалацәажәоит, гагра аӡбахә шәҳәоит,	в нескольких местах вы говорите о пицунде, говорите о гагре,
усҟан қырҭтәыла аҳәынҭқарра иатәыз аԥсуа ԥшаҳәа аҳасабала.	как об абхазском тогда побережье грузии.
уи аамҭазы аԥсны қырҭтәыла иахәҭакны иҟан, автономтә республиканы.	тогда абхазия была частью грузии, автономной республикой.
пицунда шәара иаашәырԥшит иҵегьы ахаҿсахьақәа,	в пицунде была вами названа и еще несколько образов,
ҿырԥштәыс иаагозар пицундатәи аеш.	например, образ пицундской белки.
уаҟа сара сзы ихадоу ахаҿсахьа – амшынҳәа ауп.	главный там образ все же у меня – дельфин.
уигьы амшын еиқәа аԥшаҳәаҿы ицәырҵуеит,	он тоже появляется на черноморском побережье,
шәара, иаҳҳәап, аӡбахә ахьышәҳәо:	у берегов пицунды, где вы, например, пишите:
« .еиҳа унаскьаргеит хара, абар уахьынӡаргаз, аԥсуа ԥшаҳәа ашҟа, адунеи ҳәаақәызҵо аҿыҵга иабзоураны,	« .вернее, умчали тебя вдаль, вон аж куда, к абхазскому побережью, и все по причине твоего опасного непонимания истинных соотношений сил,
ахәҭакахьала, ҳашәҟәҭыжьратә дунеи- хәыҷ абзоурала ».	правящих миром и, в частности, нашим маленьким издательским мирком ».
абар, еиҭа амшынҳәа аӡбахә:	здесь еще есть о дельфине:
« амшынҳәа уи аамҭазы амшын еиқәа ацәқәырԥақәа рыла аҵыхәшәыгәԥсыӡқәа ирышьҭан. »	« а дельфин в это время гнался по волнам черного моря за косяком ставриды ».
раԥхьатәи сызҵаара,	первый вопрос мой,
иарбан нырроу пицундеи аԥсни ишәырҭаз,	какое влияние все- таки пицунда и абхазия оказали на написание вашего романа « белка »,
адунеи аҿы шәеицырдыруа шәҟазҵаз шәроман « белка » аҩраҿы?	который сделал вас на весь мир знаменитым?
сара иаахҵәаны ишәасҳәоит, амшынҳәа ахаҿсахьа ҟалаҵомызт,	я сразу скажу вам, что не было бы образа дельфина,
35 шықәса раԥхьа ашәҟәыҩҩцәа пицунда рырҿиаратә ҩны ашҟа смаазҭгьы.	если бы не мой приезд в пицунду 35 лет назад в дом творчества писателей.
уи дельфин, ароман иаԥхьараны иҟоу иртәызааит.	и этот дельфин для тех, кто, возможно, будет читать роман.
аха уажәы схаҭа зҵаарак шәысҭар сҭахуп. ароман шәанеиҭаԥхьоз,	но прежде я хочу задать вам вопрос. когда вы перечитывали роман,
игәашәҭа, ари ашәҟәы зегьы, ари ароман зегьы,	вы заметили, что вся эта книга, весь этот роман, по содержанию, по форме
ҵакылагьы, формалагьы аҿар ишрызку, иҿоу агәы ахьӡала ишцәажәо?	обращен к молодежи, и говорит от имени молодого сердца,
акыр шықәса ҵуеит,	молодой души? много лет назад уже,
35 шықәса раԥхьа иҭыҵит « белка »,	35 лет назад у меня вышла « белка »,
аха 10 шықәса раԥхьа	но лет 10 назад
сара ҟазахсҭанҟа ааԥхьара сыман, гумилиов иуниверситет ахь.	я был приглашен в казахстан, университет гумилёва.
убра сара исзеиҿыркааит афилологиатәи, алитератураҭҵааратәи афакультетқәеи сареи ҳаиқәшәара,	и там мне устроили встречу с филологическим и литературоведческим факультетам,
акафедра анапхгаҩы сара сыԥхьаҩ лакәын,	завкафедрой этим отделением была моя почитательница,
уи лкандидаттә усумҭа лыхьчон « белка » ала.	она защищала свою кандидатскую работу по « белке ».
илдыруаз уи акәын, « белка » апропаганда азылуан,	это был ее конек, она пропагандировала « белку »,
дагьы ирҵон. сара снеимҭазы	и они изучали ее. и к моему приезду
« белка » ақәлацәеи сареи ҳаиԥылара еиҿылкааит.	она устроила мне встречу с ровесниками « белки ».
уи аамҭазы « белка » 20 шықәса ахыҵит.	к тому времени « белке » исполнилось 20 лет,
убри аҟнытә, лара 20 шықәса зхыҵуа лыстудентцәа « белка » иалмырԥхьар лымуит.	и она своих 20- летних студентов заставила прочитать « белку ».
абас иҟан аинтерес зҵаз уи аиԥылара.	вот такая была интересная встреча.
ари ароман иҿоу агәы аҟнытә иҿоу агәқәа рахь хьаԥшроуп.	это роман от молодого сердца обращенный к молодому сердцу.
темалагьы, фантазиалагьы, метафоралагьы,	и тема, и фантазия, и полет фантазии, и многие метафоры
иҿоу ахшыҩ, иҿыцу ахшыҩеидкылара иазҳәоуп,	были рассчитаны именно на молодой ум, на свежесть восприятия,
иԥсхьоу алитературатә аарԥшышьақәа ирыцәхьаҵны.	без закостеневших представлений о ценности литературной.
сара хаҭала ауаҩы иԥсоуп сызхьысырц исҭахыз. шәара сшәазҵаар сҭахын,	я непосредственно в душу обращался. хотел у вас спросить.
ҳәарада, уи азҵаара аҭак аҟаҵара шышәцәыуадаҩхо сдыруеит аха.	хотя, конечно, на этот вопрос вам трудно будет ответить.
шәгәы иаанамгаӡои « белка » аҿар рзы иажәхьеит ҳәа,	не осталось ли у вас впечатления, что « белка » устарела для молодежи,
иҿоу агәы аҟнытә иҿоу агәқәа рахь ахьаԥшра иаражәхьеит ҳәа ацәанырра шәмоуӡеи?	и для обращения от молодого сердца к молодому сердцу?
сгәы иаанагоит, ииашахаҭоу арҿиара ажәра ақәӡам, еснагь иактуалтәуп.	думаю, истинное творчество всегда актуально, никогда не устареет.
уи теориоуп. шәара шәԥышәа аҟнытә ишԥаҟоу?	это в теории. а из вашего личного опыта?
апрактикаҿ, ижәдыруеит иаԥышәҵаз ахаҿсахьақәа –	в практике, вы знаете, образы, которые вы создали, –
асахьаркыратә училишьче аҟны аҵара зҵо х- ҩык аҿарацәеи,	это образы трех молодых людей, которые учились в художественном училище,
аԥшьбатәи ахаҿсахьа, иара – аеш ахаҭеи,	и четвертый образ – это образ самой белки,
иахьагьы актуалра рымоуп.	они и сегодня актуальны.
иахьагьы урҭ аԥсҭазаараҿы иаҳԥылоит, иахьагьы урҭ лабҿаба иаабоит.	и сегодня мы их встречаем в жизни, и сегодня мы их видим.
иаҳҳәап, митиа акутин ихаҿсахьа. уи убасҟак аинтерес аҵоуп,	например, образ мити акутина. настолько интересен этот образ,
убриаҟара инаунагӡатәуп, ицқьара ҷыдоуп,	настолько вечен, его чистота настолько непосредственна,
ашәышықәсақәа рҿы ари ахаҿсахьа аанхоит.	что в веках остается этот образ.
ашәышықәсақәа рҿы иаанхо арҿиара – ааԥсаӡом.	творчество, которое остается в веках не устаревает.
сгәы шәырҭынчит, сагьшәыргәырӷьеит.	вы меня утешили и порадовали.
даҽа зҵаарак сымоуп шәара шәышҟа,	ещё один вопрос к вам,
анашанатә реализм ҳахьалацәажәо азы,	поскольку мы говорим о магическом реализме
мамзаргьы алитератураҿы имистикатәу ареализм,	или же мистическом реализме в литературе,
ииашоуп, сара сабиԥара маркес иԥхьаҩцәан, уи ахырхарҭа бзиа ибаны иҳаман.	правда, мое поколение зачитывалось маркесом, и мы влюбились в это направление.
абри ахырхарҭа, шәгәы ишԥаанаго,	вот это направление, как вам кажется,
иахьа иҿиома? уи шԥажәбо шәара иахьа?	сегодня развивается? каким вы его видите?
аинтерес зҵоу ажәабжьк шәасҳәарц сҭахуп, леуан.	я вам сообщу, леван, интересную новость.
ауаатәыҩса рдунеи аҿы алитература анцәырҵ инаркны амагиатә реализм ыҟа.	магический реализм был с момента появления литературы в человеческом мире.
гомер зегьы – магиатә реализмуп. иҟазма ас еиԥш иҟаз ауаа, афырхацәа,	гомер весь – это магический реализм. разве были такие люди, герои,
зевс, аполлон, афина, посеидони уи иԥҳәыс афродитеи?	как зевс, аполлон, афина, посейдон и его жена афродита?
гомер ироманқәа « илиада », « одиссеи »	в романах гомера « илиада » и « одиссея »
рҿы арҭ афырхацәа злыхәу ахҭысқәа –	они присутствуют, и действия, которые происходят там,
амагиатә реализм акәӡами? раԥхьатәи амшқәа инадыркны,	– разве не магические реализм? вся литература с первых дней
иахьа уажәраанӡа алитература зегьы – магиатә реализмуп.	до сегодняшнего – это магический реализм.
толстои бородинтәи аидыслара атәы шааирԥшуагьы уахь иналаҵаны.	даже то, как толстой описывает бородинскую битву.
уаҟа наполеон ихаҿсахьа даара илашарккароуп.	образ наполеона там очень ярок.
иааҳгап егьырҭ афырхацәа. николаи растови, иқәыԥшу пиер безухови.	возьмём других героев. николая ростова, еще молодого пьера безухова.
уи, ани афранцыз дибоит, афранцыз иаргьы дибоит анапышьашәалатә еидыслараҿы,	он видит этого француза, француз его видит в рукопашном бою,
афранцыз деилаганы, харантәи абџьар игәыдҵаны, дыҩны дцоит,	француз в ужасе бросает в него ружье издали и убегает,
николаи шьҭахьҟа деихоит. толстои дызлацәажәо арҭ адетальқәа зегьы	а николай в обратную сторону. и все эти детали,
аҭыԥ рыман иара ихаҭа диаанӡа акыр шабжьаз.	которые описал толстой, происходили задолго до его рождения.
толстои диит 1828 шықәсазы,	толстой родился в 1828 году,
аидыслара акәзар, уи 1812 шықәсазы иҟан.	а битва произошла в 1812 году.
толстои убасҟак инарҵауланы ари аидыслара ааирԥшит, ихаҭа далахәызшәа.	и он описал ее так, будто он был участником этих событий.
ари амагиатә реализм акәӡами?	это разве не магический реализм?
иҟамыз, зыԥсы ҭоу ак акәны иааԥшуеит.	то, чего не было предстает, как живое.
уи оуп амагиатә реализм захьӡугьы.	это и есть магический реализм.
даҽакала иуҳәозар, алитература зегьы – магиатә реализмуп.	то есть вся литература – это магический реализм.
ари аформула рхәыцын,	придумали эту формулу и меня приписали к ней
сара исыдырҳәалеит баша. сара сакәӡам ихацзыркыз ари ахырхарҭа,	совершенно напрасно. я не открыватель,
сара сакәӡам ашьаҭа зкыз. амагиатә реализм еснагь иҟан,	не основоположник этого направления. магический реализм был всегда,
убри аҟынтә, сара сыхнахит, аҭҵааҩцәа	поэтому я польщен, что исследователи сказали,
ари ахырхаҭа садырҳәало саналага.	что я к чему- то принадлежу.
аха ари хықәкылатәи аҭагылазаашьаҿы, сара исыбзоурам ареализм ашьаҭа акра.	но в данном конкретном случае, увы, я не основоположник этого направления.
иҭабуп аҭак азы. ижәытәӡоу акультурақәеи, ижәытәӡоу ацивилизациақәеи рыӡбахә ҳҳәозар,	спасибо за ответ! если мы говорим о древних культурах, о древних цивилизациях,
бырзентәылатәи ацивилизациа еиԥш иҟоу, ауаатәыҩса азы акыр ҟазҵаз.	таких, как греческая цивилизация, которая сделала многое для человечества.
абырзенцәа иҟарҵаз аҟнытә иахьауажәраанӡа ҳаԥсҭазаараҿы ҳхы иаҳархәо рацәоуп.	многое из того, что основано греками мы сегодня используем в своей жизни.
уи адемократиа, алитература, аҭоурых уҳәа, убас егьырҭгьы.	это демократия, литература, история и так далее.
аха ҳара иаҳдыруеит абырзен цивилизациа аҟынӡагьы ишыҟаз еиҳа ижәытәӡоу ацивилизациақәа. уи мысра ацивилизациа,	но до греческой цивилизации мы знаем, что были
ижәытәӡатәу ацивилизациагьы. уи мысра ацивилизациа,	и более древние цивилизации. это цивилизации египта,
адгьылбжьахара, индиа, иара убасгьы иҟан китаитәи ацивилизациа. урҭ рыӡбахә анысҳәа,	междуречья, индии, была также китайская цивилизация. и говоря об этом,
ҳаицәажәара даҽа аспект ашҟа сиасыр сҭахын,	я хотел бы перейти к другому аспекту нашей беседы,
кавказ ажәытәӡатәи ацивилизациак аҳасабала ишыҟаз, насгьы,	так как кавказ является древнейшей цивилизацией, и
кавказ, адунеи ажәытәӡатәи ацивилизациақәа ишрыдҳәалаз.	кавказ общался с мировыми древнейшими цивилизациями.
арарат инаркны, апрометеи иҟынӡа, ажәытә епос ашьақәгылараҿы	и в формировании эпоса древнего, начиная от арарата, заканчивая прометеем,
кавказ иадҳәалоу рацәоуп.	многое связано с кавказом.
сара еилыскааит, шәара ишгәашәҭаз афилософиатә хәыцра,	я узнал о том, что вы ознакомились с таким направлением
иуҳәар ауазар, афилософиатә дунеихәаԥшышьа –	в философской мысли, можно так сказать, мировоззренческой –
мураҭ иаӷан иҩымҭа, акымкәа ашәҟәқәа рҿы	это произведение мурата ягана, где он в нескольких книгах
адунеи азы ифилософиатә згәаҭа,	описывает свое философское видение мира,
ҷаамысҭа қьабза » ала ацивилизациа азгәаҭара.	видение цивилизаций через « аамста кябза ».
« аамысҭа қьабза », схазы ишазгәасҭаз ала,	« аамста кябза », я так для себя определил,
ари ижәытәӡоу ҳкультура амагиатә хырхарҭа иахәҭакуп,	это часть магического направления нашей древнейшей культуры,
ҳжәытә дыррақәа хыҵхырҭас измоу. убри ҳалацәажәар сҭахын.	где есть истоки наших древних знаний. об этом я хотел бы поговорить.
даара ибзиоуп абри азҵаара ахьықәшәыргылаз.	очень хорошо, что вы задали именно этот вопрос,
избанзар аԥсни аԥсуа жунеии рдырраҿы	потому что главным моим впечатлением
иреиҳау гәазнеираны исоуит	от знакомства с абхазией и с абхазским миром
мураҭ иаӷан иԥылара. сара сзы уи ҳамҭоуп.	является встреча с муратом яганом. для меня это дар.
зеӷьыҟам ари адгьыл аҿы инхо сҩызцәа аԥсуаа рҟнытә	я не знаю, чем я это заслужил от моих абхазских друзей,
уи сызлаԥсахаз исыздыруам.	которые живут на этой замечательной земле.
сара сзы уи ихадоу ҳамҭоу, акыр иаԥсоу, хәы змаӡам.	и для меня это самый главный дар, самый дорогой и бесценный.
избан? избанзар сара аҩнынтә философуп,	почему? потому, что я домашний философ,
уаанӡатәи абиԥарақәа рфилософиатә усумҭақәа	который занимается философией
ҭызҵаахьоу среиуам.	не потому, что изучил много философских трудов предшествующих поколений.
хаидегер ихы ишазиҳәоз еиԥш,	как говорил о себе xайдеггер,
сара – сфилософуп, избанзар философра зуеит.	я – философ, потому что я философствую.
саргьы схы уи аҩыза алшара асҭеит философра аура, сшыфилосафымгьы.	я тоже себе дал такую вольность философствовать, не будучи философом.
адипломқәа ҳәа акгьы сымаӡам,	никаких у меня нет дипломов,
аршаҳаҭгақәагьы, ҳаҭыр зқәу ари аразриад сшаҵанакуа ала.	свидетельств о том, что я отношусь к этому почтенному разряду.
шәареи сареи ҳаамҭа иаҵанакуа ауаҩы иаҳасабала,	как человек нашего с вами времени,
аҩнытә философ иаҳасабала,	будучи домашним философом,
сара, ҳәарада, даара игәнызго ыҟоуп,	я, конечно, сильно переживаю о некоторых вещах,
хаҭала исыхҭысуа, мамзаргьы аурыс,	которые происходят не просто со мной, или же с русскими,
аԥсуа, америка жәларқәагьы зҭагылоу акәым.	или с абхазами, с американцами.
адунеи зегьы исгәаԥхо акы ахҭысуеит.	со всем миром происходит что- то такое, что лично меня далеко не устраивает.
сареи сеиԥш ҳаамҭазтәи адунеи ауааԥсыра гәыԥҩык ирыдрымкыло акы.	так же, как и многих людей нашего современного мира.
уи ихадоу, шьаҭанкыла ак ацәыӡроуп,	это утрата чего- то основополагающего и главного,
амазаратә ган акәӡам, иреалтәу ари аԥсҭазаараҿы алшара дуқәа узҭо	не в имущественном отношении, не в накоплении каких- то научных энергий, знаний,
анаукатә енергиақәеи, адыррақәеи ракәӡам сызҿу.	позволяющих иметь какие- то большие возможности в этой реальной жизни.
ҳара иҳарӡит аԥеиԥш ду иадҳәалаз,	мы утратили что- то главное, что обещает великое будущее,
ауаатәыҩса рабиԥарақәа зегьы ахьтәы шәышықәса ҳәа изызгәышьуаз,	которое люди, живущие во все поколения, лелеют как мечту о золотом веке,
анцәа иаҳра иадҳәалаз ихадоу акы. иҳарӡыз ахьтәы шәышықәсеи,	о царстве божьем. миф об утраченном золотом веке
уи архынҳәреи рмиф. ари агәазыҳәарахь ауаа ирыхоз амч хада ырӡуп,	и возвращении его. главная сила, которая подвигает людей к этой мечте утрачена,
даҽакала иуҳәозар,	и все свелось к совершенному чистогану,
ауаатәыҩса рымчхара аԥсыҽхара иаҿуп,	и происходит ослабление колоссальных сил человечества,
анаука аенергетика ду шеидыркылазгьы,	несмотря на то, что люди набрали громадную энергетику науки,
гәарҭак адыррақәа шеизыргазгьы, аԥсабара азакәанқәа ишрылалазгьы,	собрали много познаний, вторглись в закономерности природы,
афизикатә мчреи алшареи шдырҳазгьы.	и обрели физическую мощь и способность.
уи инаваргыланы ицәырҵит ҳдунеи аҵыхәтәа иадҳәалоу иреалтәу аҭагылазаашьа,	вместе с этим настала абсолютно реальная ситуация о конце нашего мира,
аглобалтә ԥхарреи,	из- за глобального потепления, из- за того, что может быть
адунеи ықәызхыр зылшо аиадертә бџьареидкылеи,	уничтожение мира в результате колоссального накопления ядерного оружия,
иҟалап, аиадертә бџьар аиҳагьы ишәарҭоу акәзар,	и, может быть, более страшного, чем ядерное оружие,
амассатә нырҵәаразы ахимиатә, апсихологиатә бџьар.	химического, психологического оружия массового уничтожения.
анаукеи адыррақәеи ирыбзоураны, ирацәаны ипозитивтәу алагамҭеи, аенергеи реингалара ала,	вместе с накоплением огромных позитивных начал и энергий
ҳара акыргьы ҳуашәшәырахеит,	через науку и познание, мы обрели колоссальную уязвимость
ҳагьшәарҭахеит ҳдунеи иреалтәу аҵыхәтәа аҿаԥхьа.	и опасность перед реальным концом нашего мира.
избан, ҳзазааигәахазеи уи ҳара?	почему мы к этому подошли?
сымацара сакәӡам, ихәыцуа ауаа зегьы уи амзызқәа еилыркаауеит.	не только я, а все мыслящие люди видят причины этого.
мзысс иҟоу убри ауп, ҳара адоуҳатә енергиа ҳцәыӡит, адоуҳатә лагамҭа ыӡит.	причины этого, что у нас пропала духовная энергия, пропало духовное начало.
уи адоуҳатә лагамҭа	и это духовное начало
сара избеит мураҭ иаӷан ишәҟәы « аамсҭа қьабза » аҟны.	я увидел в книге мурата ягана « аамста кябза ».
ари ашәҟәы ҳамҭас исиҭеит сжәытә ҩыза руслан џьапуа,	эту книгу подарил мне мой давний друг руслан джопуа,
сасра санизаа. ари ашәҟәы аԥхьара салагеит,	когда я к нему приехал в гости. я начал читать эту книгу,
иаалырҟьангьы еилыскааит ари ашәҟәы аҿы схазы аҭак шызбо,	и вдруг понял, что в этой книге я нахожу для себя ответ,
иҟаҵатәузеи, ҳаамҭазтәи апокалипсистә ҭагылазаашьа аԥсахра азҵаараҿы?	что же нужно, чтобы преодолеть апокалиптическую ситуацию нашего времени?
уи сара сзы зегь иреиҳау ҳамҭоуп.	это, ведь, был самый большой дар для меня.
издызбалеи уи зегьы сара?	в чем я увидел это все?
ашәҟәы алагамҭа зынӡа имариоуп.	начинается книга очень даже просто.
уи иҳәоит аханатә канада ауааи иареи аицәажәарақәа шрымаз,	он говорит, что у него в начале были беседы с людьми в канаде о том,
иԥсҭазаара ҭәны, ихарҭәааны аҟаҵаразы	как человеку использовать все данные ему возможности для того,
