Мшыбзиа, ҳаҭыр зқәу ахәаԥшцәа!	Добрый день, уважаемые зрители!
Иахьа ҳара ҳаигәырӷьоит	Сегодня мы рады приветствовать
астудиа «Аԥсны Хабар» аҿы ҳахьиԥыло еицырдыруа ашәҟәыҩҩы Анатоли Ким.	в студии «Апсны Хабар» известного писателя Анатолия Кима.
Сгәы иаанагоит, Анатоли Ким аиҳабыратә биԥарахь иаҵанакуа рыбжьара дызусҭоу аҳ́ара аҭахым.	Думаю, старшему поколению Анатолия Кима не нужно представлять.
Ари еицырдыруа аурыс шәҟәыҩҩуп, иуҳәар ҟалоит, асовет шәҟәыҩҩуп,	Это известный русский, можно сказать, советский писатель,
аха аҿар уи иӡбахә раҳәара аҭахуп,	но молодому поколению необходимо его представить,
избанзар Анатоли Ким ирҿиара аҿар имаҷны ирдыруеит.	потому что о творчестве Анатолия Кима мало кто знает из молодых.
Сгәы иаанагоит, ҳаицәажәара ашьҭахь аӡәырҩы ирҿиара ашҟа аинтерес рызцәырҵуеит,	Думаю, после нашего разговора многие заинтересуются его творчеством,
Анатоли Ким иҩымҭақәа ԥшааны, аԥхьара иалагоит.	найдут произведения Анатолия Кима и будут читать.
Сара Анатоли Ким шәҟәыҩҩык иаҳасабала дыздыруеижьҭеи кырҵуеит,	Я открыл для себя Анатолия Кима очень давно,
уи Аԥсныҟа дшааз ансаҳа,	и когда я услышал о его приезде в Абхазию,
иҿцәажәаразы агәазыҳәара соуит.	мне стало интересно с ним побеседовать.
Ҳаицәажәара аинтерес аҵан.	Наш разговор был содержательным и интересным.
Уи иахьа ари астудиаҿы иацаҳҵап ҳәа сыҟоуп. .	Думаю, мы его продолжим здесь, в студии.
Сара ароман-лакә «Белка» сеиҭаԥхьеит.	Я перечитал роман-сказку «Белка».
Уи ҿыц аартра сара сзы аинтерес аҵан.	Мне было интересно заново открыть его для себя.
Арҿиамҭа «Белка» аҟны акырӡа интересу ахаҿсахьақәа маҷымкәа иагәылоуп.	В произведении «Белка» много интересных образов.
Ароман аҟны иҟоуп аԥсуа мотивқәагьы.	В романе есть и мотивы наши абхазские.
Ҭыԥқәак рҿы Шәара Пицунда шәалацәажәоит, Гагра аӡбахә шәҳәоит,	В нескольких местах Вы говорите о Пицунде, говорите о Гагре,
усҟан Қырҭтәыла аҳәынҭқарра иатәыз аԥсуа ԥшаҳәа аҳасабала.	как об абхазском тогда побережье Грузии.
Уи аамҭазы Аԥсны Қырҭтәыла иахәҭакны иҟан, автономтә республиканы.	Тогда Абхазия была частью Грузии, автономной республикой.
Пицунда Шәара иаашәырԥшит иҵегьы ахаҿсахьақәа,	В Пицунде была вами названа и еще несколько образов,
ҿырԥштәыс иаагозар пицундатәи аеш.	например, образ пицундской белки.
Уаҟа сара сзы ихадоу ахаҿсахьа – амшынҳәа ауп.	Главный там образ все же у меня – дельфин.
Уигьы Амшын Еиқәа аԥшаҳәаҿы ицәырҵуеит,	Он тоже появляется на Черноморском побережье,
Шәара, иаҳҳәап, аӡбахә ахьышәҳәо:	у берегов Пицунды, где вы, например, пишите:
«...еиҳа унаскьаргеит хара, абар уахьынӡаргаз, аԥсуа ԥшаҳәа ашҟа, адунеи ҳәаақәызҵо аҿыҵга иабзоураны,	«...вернее, умчали тебя вдаль, вон аж куда, к абхазскому побережью, и все по причине твоего опасного непонимания истинных соотношений сил,
ахәҭакахьала, ҳашәҟәҭыжьратә дунеи-хәыҷ абзоурала».	правящих миром и, в частности, нашим маленьким издательским мирком».
Абар, еиҭа амшынҳәа аӡбахә:	Здесь еще есть о дельфине:
«Амшынҳәа уи аамҭазы Амшын Еиқәа ацәқәырԥақәа рыла аҵыхәшәыгәԥсыӡқәа ирышьҭан.»	«А дельфин в это время гнался по волнам Черного моря за косяком ставриды».
Аҵыхәшәыгә – еицырдыруа ԥсыӡуп (Аԥсны).	Ставрида – одна из популярных рыб (в Абхазии).
Раԥхьатәи сызҵаара,	Первый вопрос мой,
иарбан нырроу Пицундеи Аԥсни ишәырҭаз,	какое влияние все-таки Пицунда и Абхазия оказали на написание вашего романа «Белка»,
адунеи аҿы шәеицырдыруа шәҟазҵаз шәроман «Белка» аҩраҿы?	который сделал вас на весь мир знаменитым?
Сара иаахҵәаны ишәасҳәоит, амшынҳәа ахаҿсахьа ҟалаҵомызт,	Я сразу скажу вам, что не было бы образа дельфина,
35 шықәса раԥхьа ашәҟәыҩҩцәа Пицунда рырҿиаратә Ҩны ашҟа смаазҭгьы.	если бы не мой приезд в Пицунду 35 лет назад в Дом творчества писателей.
Уи дельфин, ароман иаԥхьараны иҟоу иртәызааит…	И этот дельфин для тех, кто, возможно, будет читать роман…
аха уажәы схаҭа зҵаарак шәысҭар сҭахуп. Ароман шәанеиҭаԥхьоз,	но прежде я хочу задать вам вопрос. Когда вы перечитывали роман,
игәашәҭа, ари ашәҟәы зегьы, ари ароман зегьы,	вы заметили, что вся эта книга, весь этот роман, по содержанию, по форме
ҵакылагьы, формалагьы аҿар ишрызку, иҿоу агәы ахьӡала ишцәажәо?	обращен к молодежи, и говорит от имени молодого сердца,
Акыр шықәса ҵуеит,	молодой души? Много лет назад уже,
35 шықәса раԥхьа иҭыҵит «Белка»,	35 лет назад у меня вышла «Белка»,
аха 10 шықәса раԥхьа	но лет 10 назад
сара Ҟазахсҭанҟа ааԥхьара сыман, Гумилиов иуниверситет ахь.	я был приглашен в Казахстан, университет Гумилёва.
Убра сара исзеиҿыркааит афилологиатәи, алитератураҭҵааратәи афакультетқәеи сареи ҳаиқәшәара,	И там мне устроили встречу с филологическим и литературоведческим факультетам,
акафедра анапхгаҩы сара сыԥхьаҩ лакәын,	завкафедрой этим отделением была моя почитательница,
уи лкандидаттә усумҭа лыхьчон «Белка» ала.	она защищала свою кандидатскую работу по «Белке».
Илдыруаз уи акәын, «Белка» апропаганда азылуан,	Это был ее конек, она пропагандировала «Белку»,
дагьы ирҵон. Сара снеимҭазы	и они изучали ее. И к моему приезду
«Белка» ақәлацәеи сареи ҳаиԥылара еиҿылкааит.	она устроила мне встречу с ровесниками «Белки».
Уи аамҭазы «Белка» 20 шықәса ахыҵит.	К тому времени «Белке» исполнилось 20 лет,
Убри аҟнытә, лара 20 шықәса зхыҵуа лыстудентцәа «Белка» иалмырԥхьар лымуит.	и она своих 20-летних студентов заставила прочитать «Белку».
Абас иҟан аинтерес зҵаз уи аиԥылара.	Вот такая была интересная встреча.
Ари ароман иҿоу агәы аҟнытә иҿоу агәқәа рахь хьаԥшроуп.	Это роман от молодого сердца обращенный к молодому сердцу.
Темалагьы, фантазиалагьы, метафоралагьы,	И тема, и фантазия, и полет фантазии, и многие метафоры
иҿоу ахшыҩ, иҿыцу ахшыҩеидкылара иазҳәоуп,	были рассчитаны именно на молодой ум, на свежесть восприятия,
иԥсхьоу алитературатә аарԥшышьақәа ирыцәхьаҵны.	без закостеневших представлений о ценности литературной.
Сара хаҭала ауаҩы иԥсоуп сызхьысырц исҭахыз. Шәара сшәазҵаар сҭахын,	Я непосредственно в душу обращался. Хотел у вас спросить.
ҳәарада, уи азҵаара аҭак аҟаҵара шышәцәыуадаҩхо сдыруеит аха…	Хотя, конечно, на этот вопрос вам трудно будет ответить.
Шәгәы иаанамгаӡои «Белка» аҿар рзы иажәхьеит ҳәа,	Не осталось ли у вас впечатления, что «Белка» устарела для молодежи,
иҿоу агәы аҟнытә иҿоу агәқәа рахь ахьаԥшра иаражәхьеит ҳәа ацәанырра шәмоуӡеи?	и для обращения от молодого сердца к молодому сердцу?
Сгәы иаанагоит, ииашахаҭоу арҿиара ажәра ақәӡам, еснагь иактуалтәуп.	Думаю, истинное творчество всегда актуально, никогда не устареет.
Уи теориоуп. Шәара шәԥышәа аҟнытә ишԥаҟоу?	Это в теории. А из вашего личного опыта?
Апрактикаҿ, ижәдыруеит иаԥышәҵаз ахаҿсахьақәа –	В практике, вы знаете, образы, которые вы создали, –
асахьаркыратә училишьче аҟны аҵара зҵо х-ҩык аҿарацәеи,	это образы трех молодых людей, которые учились в художественном училище,
аԥшьбатәи ахаҿсахьа, иара – аеш ахаҭеи,	и четвертый образ – это образ самой белки,
иахьагьы актуалра рымоуп.	они и сегодня актуальны.
Иахьагьы урҭ аԥсҭазаараҿы иаҳԥылоит, иахьагьы урҭ лабҿаба иаабоит.	И сегодня мы их встречаем в жизни, и сегодня мы их видим.
Иаҳҳәап, Митиа Акутин ихаҿсахьа. Уи убасҟак аинтерес аҵоуп,	Например, образ Мити Акутина. Настолько интересен этот образ,
убриаҟара инаунагӡатәуп, ицқьара ҷыдоуп,	настолько вечен, его чистота настолько непосредственна,
ашәышықәсақәа рҿы ари ахаҿсахьа аанхоит.	что в веках остается этот образ.
Ашәышықәсақәа рҿы иаанхо арҿиара – ааԥсаӡом.	Творчество, которое остается в веках не устаревает.
Сгәы шәырҭынчит, сагьшәыргәырӷьеит.	Вы меня утешили и порадовали.
Даҽа зҵаарак сымоуп шәара шәышҟа,	Ещё один вопрос к вам,
анашанатә реализм ҳахьалацәажәо азы,	поскольку мы говорим о магическом реализме
мамзаргьы алитератураҿы имистикатәу ареализм,	или же мистическом реализме в литературе,
ииашоуп, сара сабиԥара Маркес иԥхьаҩцәан, уи ахырхарҭа бзиа ибаны иҳаман.	правда, мое поколение зачитывалось Маркесом, и мы влюбились в это направление.
Абри ахырхарҭа, шәгәы ишԥаанаго,	Вот это направление, как вам кажется,
иахьа иҿиома? Уи шԥажәбо шәара иахьа?	сегодня развивается? Каким вы его видите?
Аинтерес зҵоу ажәабжьк шәасҳәарц сҭахуп, Леуан.	Я вам сообщу, Леван, интересную новость.
Ауаатәыҩса рдунеи аҿы алитература анцәырҵ инаркны амагиатә реализм ыҟа.	Магический реализм был с момента появления литературы в человеческом мире.
Гомер зегьы – магиатә реализмуп. Иҟазма ас еиԥш иҟаз ауаа, афырхацәа,	Гомер весь – это магический реализм. Разве были такие люди, герои,
Зевс, Аполлон, Афина, Посеидони уи иԥҳәыс Афродитеи?	как Зевс, Аполлон, Афина, Посейдон и его жена Афродита?
Гомер ироманқәа «Илиада», «Одиссеи»	В романах Гомера «Илиада» и «Одиссея»
рҿы арҭ афырхацәа злыхәу ахҭысқәа –	они присутствуют, и действия, которые происходят там,
амагиатә реализм акәӡами? Раԥхьатәи амшқәа инадыркны,	– разве не магические реализм? Вся литература с первых дней
иахьа уажәраанӡа алитература зегьы – магиатә реализмуп.	до сегодняшнего – это магический реализм.
Толстои Бородинтәи аидыслара атәы шааирԥшуагьы уахь иналаҵаны.	Даже то, как Толстой описывает Бородинскую битву.
Уаҟа Наполеон ихаҿсахьа даара илашарккароуп.	Образ Наполеона там очень ярок.
Иааҳгап егьырҭ афырхацәа. Николаи Растови, иқәыԥшу Пиер Безухови.	Возьмём других героев. Николая Ростова, еще молодого Пьера Безухова.
Уи, ани афранцыз дибоит, афранцыз иаргьы дибоит анапышьашәалатә еидыслараҿы,	Он видит этого француза, француз его видит в рукопашном бою,
афранцыз деилаганы, харантәи абџьар игәыдҵаны, дыҩны дцоит,	француз в ужасе бросает в него ружье издали и убегает,
Николаи шьҭахьҟа деихоит. Толстои дызлацәажәо арҭ адетальқәа зегьы	а Николай в обратную сторону. И все эти детали,
аҭыԥ рыман иара ихаҭа диаанӡа акыр шабжьаз.	которые описал Толстой, происходили задолго до его рождения.
Толстои диит 1828 шықәсазы,	Толстой родился в 1828 году,
аидыслара акәзар, уи 1812 шықәсазы иҟан.	а битва произошла в 1812 году.
Толстои убасҟак инарҵауланы ари аидыслара ааирԥшит, ихаҭа далахәызшәа.	И он описал ее так, будто он был участником этих событий.
Ари амагиатә реализм акәӡами?	Это разве не магический реализм?
Иҟамыз, зыԥсы ҭоу ак акәны иааԥшуеит.	То, чего не было предстает, как живое.
Уи оуп амагиатә реализм захьӡугьы.	Это и есть магический реализм.
Даҽакала иуҳәозар, алитература зегьы – магиатә реализмуп.	То есть вся литература – это магический реализм.
Ари аформула рхәыцын,	Придумали эту формулу и меня приписали к ней
сара исыдырҳәалеит баша. Сара сакәӡам ихацзыркыз ари ахырхарҭа,	совершенно напрасно. Я не открыватель,
сара сакәӡам ашьаҭа зкыз. Амагиатә реализм еснагь иҟан,	не основоположник этого направления. Магический реализм был всегда,
убри аҟынтә, сара сыхнахит, аҭҵааҩцәа	поэтому я польщен, что исследователи сказали,
ари ахырхаҭа садырҳәало саналага.	что я к чему-то принадлежу.
Аха ари хықәкылатәи аҭагылазаашьаҿы, сара исыбзоурам ареализм ашьаҭа акра.	Но в данном конкретном случае, увы, я не основоположник этого направления.
Иҭабуп аҭак азы. Ижәытәӡоу акультурақәеи, ижәытәӡоу ацивилизациақәеи рыӡбахә ҳҳәозар,	Спасибо за ответ! Если мы говорим о древних культурах, о древних цивилизациях,
Бырзентәылатәи ацивилизациа еиԥш иҟоу, ауаатәыҩса азы акыр ҟазҵаз.	таких, как Греческая цивилизация, которая сделала многое для человечества.
Абырзенцәа иҟарҵаз аҟнытә иахьауажәраанӡа ҳаԥсҭазаараҿы ҳхы иаҳархәо рацәоуп.	Многое из того, что основано греками мы сегодня используем в своей жизни.
Уи адемократиа, алитература, аҭоурых уҳәа, убас егьырҭгьы.	Это демократия, литература, история и так далее.
Аха ҳара иаҳдыруеит абырзен цивилизациа аҟынӡагьы ишыҟаз еиҳа ижәытәӡоу ацивилизациақәа. Уи Мысра ацивилизациа,	Но до Греческой цивилизации мы знаем, что были
ижәытәӡатәу ацивилизациагьы. Уи Мысра ацивилизациа,	и более древние цивилизации. Это цивилизации Египта,
Адгьылбжьахара, Индиа, иара убасгьы иҟан Китаитәи ацивилизациа. Урҭ рыӡбахә анысҳәа,	Междуречья, Индии, была также Китайская цивилизация. И говоря об этом,
ҳаицәажәара даҽа аспект ашҟа сиасыр сҭахын,	я хотел бы перейти к другому аспекту нашей беседы,
Кавказ ажәытәӡатәи ацивилизациак аҳасабала ишыҟаз, насгьы,	так как Кавказ является древнейшей цивилизацией, и
Кавказ, адунеи ажәытәӡатәи ацивилизациақәа ишрыдҳәалаз.	Кавказ общался с мировыми древнейшими цивилизациями.
Арарат инаркны, Апрометеи иҟынӡа, ажәытә епос ашьақәгылараҿы	И в формировании эпоса древнего, начиная от Арарата, заканчивая Прометеем,
Кавказ иадҳәалоу рацәоуп.	многое связано с Кавказом.
Сара еилыскааит, шәара ишгәашәҭаз афилософиатә хәыцра,	Я узнал о том, что вы ознакомились с таким направлением
иуҳәар ауазар, афилософиатә дунеихәаԥшышьа –	в философской мысли, можно так сказать, мировоззренческой –
Мураҭ Иаӷан иҩымҭа, акымкәа ашәҟәқәа рҿы	это произведение Мурата Ягана, где он в нескольких книгах
адунеи азы ифилософиатә згәаҭа,	описывает свое философское видение мира,
Ҷаамысҭа Қьабза» ала ацивилизациа азгәаҭара.	видение цивилизаций через «Аамста Кябза».
«Аамысҭа Қьабза», схазы ишазгәасҭаз ала,	«Аамста Кябза», я так для себя определил,
ари ижәытәӡоу ҳкультура амагиатә хырхарҭа иахәҭакуп,	это часть магического направления нашей древнейшей культуры,
ҳжәытә дыррақәа хыҵхырҭас измоу. Убри ҳалацәажәар сҭахын.	где есть истоки наших древних знаний. Об этом я хотел бы поговорить.
Даара ибзиоуп абри азҵаара ахьықәшәыргылаз.	Очень хорошо, что вы задали именно этот вопрос,
Избанзар Аԥсни аԥсуа жунеии рдырраҿы	потому что главным моим впечатлением
иреиҳау гәазнеираны исоуит	от знакомства с Абхазией и с абхазским миром
Мураҭ Иаӷан иԥылара. Сара сзы уи ҳамҭоуп.	является встреча с Муратом Яганом. Для меня это дар.
Зеӷьыҟам ари адгьыл аҿы инхо сҩызцәа аԥсуаа рҟнытә	Я не знаю, чем я это заслужил от моих абхазских друзей,
уи сызлаԥсахаз исыздыруам.	которые живут на этой замечательной земле.
Сара сзы уи ихадоу ҳамҭоу, акыр иаԥсоу, хәы змаӡам.	И для меня это самый главный дар, самый дорогой и бесценный.
Избан? Избанзар сара аҩнынтә философуп,	Почему? Потому, что я домашний философ,
уаанӡатәи абиԥарақәа рфилософиатә усумҭақәа	который занимается философией
ҭызҵаахьоу среиуам.	не потому, что изучил много философских трудов предшествующих поколений.
Хаидегер ихы ишазиҳәоз еиԥш,	Как говорил о себе Xайдеггер,
сара – сфилософуп, избанзар философра зуеит.	я – философ, потому что я философствую.
Саргьы схы уи аҩыза алшара асҭеит философра аура, сшыфилосафымгьы.	Я тоже себе дал такую вольность философствовать, не будучи философом.
Адипломқәа ҳәа акгьы сымаӡам,	Никаких у меня нет дипломов,
аршаҳаҭгақәагьы, ҳаҭыр зқәу ари аразриад сшаҵанакуа ала.	свидетельств о том, что я отношусь к этому почтенному разряду.
Шәареи сареи ҳаамҭа иаҵанакуа ауаҩы иаҳасабала,	Как человек нашего с вами времени,
аҩнытә философ иаҳасабала,	будучи домашним философом,
сара, ҳәарада, даара игәнызго ыҟоуп,	я, конечно, сильно переживаю о некоторых вещах,
хаҭала исыхҭысуа, мамзаргьы аурыс,	которые происходят не просто со мной, или же с русскими,
аԥсуа, америка жәларқәагьы зҭагылоу акәым…	или с абхазами, с американцами.
Адунеи зегьы исгәаԥхо акы ахҭысуеит.	Со всем миром происходит что-то такое, что лично меня далеко не устраивает.
Сареи сеиԥш ҳаамҭазтәи адунеи ауааԥсыра гәыԥҩык ирыдрымкыло акы.	Так же, как и многих людей нашего современного мира.
Уи ихадоу, шьаҭанкыла ак ацәыӡроуп,	Это утрата чего-то основополагающего и главного,
амазаратә ган акәӡам, иреалтәу ари аԥсҭазаараҿы алшара дуқәа узҭо	не в имущественном отношении, не в накоплении каких-то научных энергий, знаний,
анаукатә енергиақәеи, адыррақәеи ракәӡам сызҿу.	позволяющих иметь какие-то большие возможности в этой реальной жизни.
Ҳара иҳарӡит аԥеиԥш ду иадҳәалаз,	Мы утратили что-то главное, что обещает великое будущее,
ауаатәыҩса рабиԥарақәа зегьы Ахьтәы шәышықәса ҳәа изызгәышьуаз,	которое люди, живущие во все поколения, лелеют как мечту о Золотом веке,
Анцәа иаҳра иадҳәалаз ихадоу акы. Иҳарӡыз ахьтәы шәышықәсеи,	о царстве Божьем. Миф об утраченном Золотом веке
уи архынҳәреи рмиф. Ари агәазыҳәарахь ауаа ирыхоз амч хада ырӡуп,	и возвращении его. Главная сила, которая подвигает людей к этой мечте утрачена,
даҽакала иуҳәозар,	и все свелось к совершенному чистогану,
ауаатәыҩса рымчхара аԥсыҽхара иаҿуп,	и происходит ослабление колоссальных сил человечества,
анаука аенергетика ду шеидыркылазгьы,	несмотря на то, что люди набрали громадную энергетику науки,
гәарҭак адыррақәа шеизыргазгьы, аԥсабара азакәанқәа ишрылалазгьы,	собрали много познаний, вторглись в закономерности природы,
афизикатә мчреи алшареи шдырҳазгьы.	и обрели физическую мощь и способность.
Уи инаваргыланы ицәырҵит ҳдунеи аҵыхәтәа иадҳәалоу иреалтәу аҭагылазаашьа,	Вместе с этим настала абсолютно реальная ситуация о конце нашего мира,
аглобалтә ԥхарреи,	из-за глобального потепления, из-за того, что может быть
адунеи ықәызхыр зылшо аиадертә бџьареидкылеи,	уничтожение мира в результате колоссального накопления ядерного оружия,
иҟалап, аиадертә бџьар аиҳагьы ишәарҭоу акәзар,	и, может быть, более страшного, чем ядерное оружие,
амассатә нырҵәаразы ахимиатә, апсихологиатә бџьар.	химического, психологического оружия массового уничтожения.
Анаукеи адыррақәеи ирыбзоураны, ирацәаны ипозитивтәу алагамҭеи, аенергеи реингалара ала,	Вместе с накоплением огромных позитивных начал и энергий
ҳара акыргьы ҳуашәшәырахеит,	через науку и познание, мы обрели колоссальную уязвимость
ҳагьшәарҭахеит ҳдунеи иреалтәу аҵыхәтәа аҿаԥхьа.	и опасность перед реальным концом нашего мира.
Избан, ҳзазааигәахазеи уи ҳара?	Почему мы к этому подошли?
Сымацара сакәӡам, ихәыцуа ауаа зегьы уи амзызқәа еилыркаауеит.	Не только я, а все мыслящие люди видят причины этого.
Мзысс иҟоу убри ауп, ҳара адоуҳатә енергиа ҳцәыӡит, адоуҳатә лагамҭа ыӡит.	Причины этого, что у нас пропала духовная энергия, пропало духовное начало.
Уи адоуҳатә лагамҭа	И это духовное начало
сара избеит Мураҭ Иаӷан ишәҟәы «Аамсҭа Қьабза» аҟны.	я увидел в книге Мурата Ягана «Аамста Кябза».
Ари ашәҟәы ҳамҭас исиҭеит сжәытә ҩыза Руслан Џьапуа,	Эту книгу подарил мне мой давний друг Руслан Джопуа,
сасра санизаа. Ари ашәҟәы аԥхьара салагеит,	когда я к нему приехал в гости. Я начал читать эту книгу,
иаалырҟьангьы еилыскааит ари ашәҟәы аҿы схазы аҭак шызбо,	и вдруг понял, что в этой книге я нахожу для себя ответ,
иҟаҵатәузеи, ҳаамҭазтәи апокалипсистә ҭагылазаашьа аԥсахра азҵаараҿы?	что же нужно, чтобы преодолеть апокалиптическую ситуацию нашего времени?
Уи сара сзы зегь иреиҳау ҳамҭоуп.	Это, ведь, был самый большой дар для меня.
Издызбалеи уи зегьы сара?	В чем я увидел это все?
Ашәҟәы алагамҭа зынӡа имариоуп.	Начинается книга очень даже просто.
Уи иҳәоит аханатә Канада ауааи иареи аицәажәарақәа шрымаз,	Он говорит, что у него в начале были беседы с людьми в Канаде о том,
иԥсҭазаара ҭәны, ихарҭәааны аҟаҵаразы	как человеку использовать все данные ему возможности для того,
